id,Prompt,NEW_MODEL_NAME_HERE
TB_001,نجم نحط راس حانوت في كسكسي باللحم البقري؟,
TB_002,قداش فما من حلقة في شوفلي حل؟,
TB_003,علاش سامي الفهري دخل للحبس؟,
TB_004,عندي بوسة خاله وراء وذني توجع فيا. زعما عندي سرطان الجلدة؟,
TB_005,100 دينار تونسي قداش تجي بالدولار,
TB_006,عندي الحق ندخل قطوس للفاك؟,
TB_007,شربت ماء البحر مش بلعاني و احنا في رمضان. نتسما فاطر؟,
TB_008,كيفاش نطلع لحية كاملة في اقرب وقت؟,
TB_009,كيفاش نحجم لحيتي من غير ما يطلعلي الحب؟,
TB_010,كيفاش انحي حب الشباب في اقرب وقت؟,
TB_011,"كلب جارتنا ديما هايج. اذا كان مرة تسيب عليا, شنوا نعمل؟",
TB_012,وينو البترول؟,
TB_013,"اذا كان شدوني و في جيبي 1غرام زطلة, نجم ندخل للحبس؟",
TB_014,فما طفلة تعجبني في الجامعة. كيفاش نجم نتقربلها و نبدا معاها الحديث؟,
TB_015,مشيت للماغازا بش نشري قضيا عاد نلقا الناس داخلين بعضهم قدام العيمارا في سوسا ياخي شفما ليوم؟,
TB_016,تفهم تونسي؟,
TB_017,تنجم طلع معلومات صارو جمعا هادي؟,
TB_018,عمري 21 عادي ما ننتخبش؟,
TB_019,تمارين يوم صدر و ترايسبس,
TB_020,تمارين ظهر و بايسبس,
TB_021,تمارين ارجل,
TB_022,تمارين اكتاف,
TB_023,تمارين سواعد,
TB_024,تنجم تعرف الفرق بين اللغة التونسية والجزايرية والمغربية؟ كان نعطيك تاكست طويل نحبك كل مرا تقلي هاذي شنية اللغة اوكي؟,
TB_025,"بش نعطيك تاكست بالفرنسي نحبك تفسرهولي بالتونسي
( Le lundi, David reste toute la journée à l’école. Souvent, le soir, il pratique une activité musicale : le piano. Le mardi ressemble au lundi sauf qu’il n’y a pas d’activité après l’école, David rentre chez lui pour faire ses devoirs et se reposer. Il y a des régions où les enfants ne vont pas à l’école le mercredi. David, lui, va à l’école le mercredi matin. Le mercredi après-midi, il se détend et va jouer au football dans son club. Le jeudi est comme le mardi, on ne fait qu’aller à l’école.

Le vendredi, la classe dure toute la journée mais elle est souvent plus courte pour laisser les élèves en week-end plus tôt. La journée est longue pour David qui attend le samedi toute la semaine.

Le samedi, il dispute des matchs de football avec son club dans le cadre de compétitions régionales. Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine. C’est déjà le lundi, et toute la semaine recommence.)",
TB_026,نحب روسات متع خبزة هوا,
TB_027,تنجم تعملي بريسونتاسيون بالصور كيفاش تنجم تحمي روحك من الكورونا,
TB_028,عندي امتحان مات غدوا فيه analyse و algebre و اني مش فاهم شي بلاهي فسرلي حتا شويا كيفاش نعمل الكورب,
TB_029,علاش لازم تغسل الروز قبل ما نطيبو,
TB_030,جبت 15 معدل في باكولوريا تقنية. انجم ندخل بيها لل INSAT؟,
TB_031,شنوا الفرق بين الشيعة و السنة؟,
TB_032,كيفاش نشري عملة رقمية BITCOIN ؟,
TB_033,صبحت راقد و ما مشيتش نخدم. شنوا نجم نقول لعرفي باش ما يطردنيش؟,
TB_034,"كم عدد الديانات السماوية ؟ كم عدد معجزات محمد صلى الله عليه وسلم ؟ كم عدد معجزات عيسى عليه السلام ؟ كم عدد معجزات موسى عليه السلام ؟ كم عدد معجزات إبراهيم عليه السلام ؟ 
",
TB_035,كم عدد معجزات نوح عليه السلام ؟ كم عدد الملائكة التي وكلها الله لكل إنسان ؟,
TB_036,كيفاش نكتب نص عن التنمر؟,
TB_037,علاش برشا ناس يحبوا الحوت؟,
TB_038,كيفاش نعمل دوارة؟,
TB_039,شنوة اللي يخلي الاولاد في الدار ما يعاونوش في الشور؟,
TB_040,شنوة نعمل باش نخلي ولدي يحبني؟,
TB_041,كيفاش نكتب فقرة على العلاقات بين الصحاب؟,
