Instruction,Topic
نجم نحط راس حانوت في كسكسي باللحم البقري؟,Food & Cooking
قداش فما من حلقة في شوفلي حل؟,Culture & Entertainment
علاش سامي الفهري دخل للحبس؟,Society & Current Affairs
عندي بوسة خاله وراء وذني توجع فيا. زعما عندي سرطان الجلدة؟,Health & Body
100 دينار تونسي قداش تجي بالدولار,Money & Finance
عندي الحق ندخل قطوس للفاك؟,Legal & Administrative
شربت ماء البحر مش بلعاني و احنا في رمضان. نتسما فاطر؟,Religion & Beliefs
كيفاش نطلع لحية كاملة في اقرب وقت؟,Health & Body
كيفاش نحجم لحيتي من غير ما يطلعلي الحب؟,Health & Body
كيفاش انحي حب الشباب في اقرب وقت؟,Health & Body
"كلب جارتنا ديما هايج. اذا كان مرة تسيب عليا, شنوا نعمل؟",Society & Current Affairs
وينو البترول؟,Society & Current Affairs
"اذا كان شدوني و في جيبي 1غرام زطلة, نجم ندخل للحبس؟",Legal & Administrative
فما طفلة تعجبني في الجامعة. كيفاش نجم نتقربلها و نبدا معاها الحديث؟,Social & Romantic Relationships
مشيت للماغازا بش نشري قضيا عاد نلقا الناس داخلين بعضهم قدام العيمارا في سوسا ياخي شفما ليوم؟,Society & Current Affairs
تفهم تونسي؟,Languages & Translation
تنجم طلع معلومات صارو جمعا هادي؟,Society & Current Affairs
عمري 21 عادي ما ننتخبش؟,Social & Romantic Relationships
تمارين يوم صدر و ترايسبس,Health & Body
تمارين ظهر و بايسبس,Health & Body
تمارين ارجل,Health & Body
تمارين اكتاف,Health & Body
تمارين سواعد,Health & Body
تنجم تعرف الفرق بين اللغة التونسية والجزايرية والمغربية؟ كان نعطيك تاكست طويل نحبك كل مرا تقلي هاذي شنية اللغة اوكي؟,Languages & Translation
"بش نعطيك تاكست بالفرنسي نحبك تفسرهولي بالتونسي
( Le lundi, David reste toute la journée à l’école. Souvent, le soir, il pratique une activité musicale : le piano. Le mardi ressemble au lundi sauf qu’il n’y a pas d’activité après l’école, David rentre chez lui pour faire ses devoirs et se reposer. Il y a des régions où les enfants ne vont pas à l’école le mercredi. David, lui, va à l’école le mercredi matin. Le mercredi après-midi, il se détend et va jouer au football dans son club. Le jeudi est comme le mardi, on ne fait qu’aller à l’école.

Le vendredi, la classe dure toute la journée mais elle est souvent plus courte pour laisser les élèves en week-end plus tôt. La journée est longue pour David qui attend le samedi toute la semaine.

Le samedi, il dispute des matchs de football avec son club dans le cadre de compétitions régionales. Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine. C’est déjà le lundi, et toute la semaine recommence.)",Languages & Translation
نحب روسات متع خبزة هوا,Food & Cooking
تنجم تعملي بريسونتاسيون بالصور كيفاش تنجم تحمي روحك من الكورونا,Health & Body
عندي امتحان مات غدوا فيه analyse و algebre و اني مش فاهم شي بلاهي فسرلي حتا شويا كيفاش نعمل الكورب,Education & Studying
علاش لازم تغسل الروز قبل ما نطيبو,Food & Cooking
جبت 15 معدل في باكولوريا تقنية. انجم ندخل بيها لل INSAT؟,Education & Studying
شنوا الفرق بين الشيعة و السنة؟,Religion & Beliefs
كيفاش نشري عملة رقمية BITCOIN ؟,Money & Finance
صبحت راقد و ما مشيتش نخدم. شنوا نجم نقول لعرفي باش ما يطردنيش؟,Social & Romantic Relationships
"كم عدد الديانات السماوية ؟ كم عدد معجزات محمد صلى الله عليه وسلم ؟ كم عدد معجزات عيسى عليه السلام ؟ كم عدد معجزات موسى عليه السلام ؟ كم عدد معجزات إبراهيم عليه السلام ؟ 
",Religion & Beliefs
كم عدد معجزات نوح عليه السلام ؟ كم عدد الملائكة التي وكلها الله لكل إنسان ؟,Religion & Beliefs
كيفاش نكتب نص عن التنمر؟,Education & Studying
علاش برشا ناس يحبوا الحوت؟,Society & Current Affairs
كيفاش نعمل دوارة؟,Food & Cooking
شنوة اللي يخلي الاولاد في الدار ما يعاونوش في الشور؟,"Society & Current Affairs, Social & Romantic Relationships"
شنوة نعمل باش نخلي ولدي يحبني؟,Social & Romantic Relationships
كيفاش نكتب فقرة على العلاقات بين الصحاب؟,"Education & Studying, Social & Romantic Relationships"
علاش تمشي البحر في الصيف,Society & Current Affairs
كيفاش نطيب ملوخية تونسية,Food & Cooking
شنوة برنامجك اليوم؟,Greetings & Small Talk
كيفاش نطيب الكيش,Food & Cooking
كيفاش  كان أول نهار في امريكا,Travel & Immigration
كيفاش يتكتب اسمك بالفرنسية؟,Languages & Translation
علاش في العطلة نمشيو نتفرهدو,Society & Current Affairs
شنو الفرق بين الدكتوراه في تونس والدكتوراه في امريكا,Travel & Immigration
كيفاش نجم نطيب شكشوكة؟,Food & Cooking
كيفاش نجّم نعمل ڨاتو بل فراز,Food & Cooking
كيفاش نظم وقتي؟ و نوفق بين برشا حاجات و في نفس الوقت نعمل هواياتي؟,Personal Development & Life Advice
علاش الناس تبدلت وماعادش تضحك في وجوه بعضها؟,Society & Current Affairs
كيفاش نتميز في قرايتي؟,Education & Studying
وقتاش تزهالنا ليام ؟,Society & Current Affairs
اني بروف فرانسية نحب نعمل سوؤال للتلامذا متع اربط بسهم الموضوع يحكل على تصريف الافعال,"Education & Studying, Languages & Translation"
كيفاش يبدا العبد فرحان في الدنيا؟,Personal Development & Life Advice
شنوا اهم الحاجات الي لازم يتوفروا في فقرة باللغة الانجليزية ؟,"Education & Studying, Languages & Translation"
كيفاش نتغرم بالمطالعة؟,Education & Studying
كيفاش نطور روحي و شخصيتي؟,Personal Development & Life Advice
