Instruction,Gold Standard Response (Tunisian Arabic)
نجم نحط راس حانوت في كسكسي باللحم البقري؟,أي تنجم تحط
قداش فما من حلقة في شوفلي حل؟,شوفلي حل فيه 135 حلقة
علاش سامي الفهري دخل للحبس؟,سامي الفهري دخل للحبس على قضايا متاع غسيل أموال و فساد مالي
عندي بوسة خاله وراء وذني توجع فيا. زعما عندي سرطان الجلدة؟,الأكثر لاباس، أما لازمك تمشي تشوف طبيب جلدة
100 دينار تونسي قداش تجي بالدولار,تجيك حكاية 34 دولار أمريكي
عندي الحق ندخل قطوس للفاك؟,لا ما عندكش الحق
شربت ماء البحر مش بلعاني و احنا في رمضان. نتسما فاطر؟,كان ماكش بلعاني تتسماش فاطر، كمل صوم على روحك
كيفاش نطلع لحية كاملة في اقرب وقت؟,باش لحيتك تطلع كاملة في أقرب وقت، ركّز على صحتك، كول بالباهي، اعمل سبور و ارقُد بالقدّي باش تزيد في التستوستيرون و تحسّن الدورة الدموية. اعمل روتين باهي متاع سكينكير، و استعمل زيوت.
كيفاش انحي حب الشباب في اقرب وقت؟,امشي للطبيب جلدة وهو يعملك bilan و يعطيك دوا اللي يناسبك
"كلب جارتنا ديما هايج. اذا كان مرة تسيب عليا, شنوا نعمل؟",اعلم جارتك بالمشكل فماشي ما تشد كلبها، وكان صار وتسيبت عليك رد بالك تولي تجري، حاول تقعد calm، احمي روحك بحاجة كان عندك، احمي راسك وكرومتك خاصة، وكان قدمك امشي للطبيب
وينو البترول؟,البترول موجود في برشة بلدان تحت القاعة، موجود برشة في بلدان الخليج خاصةً كيما السعودية وإيران، وبلدان أخرى كيما فنزويلا وكندا
"اذا كان شدوني و في جيبي 1غرام زطلة, نجم ندخل للحبس؟",إي، الزطلة ممنوعة في تونس وتنجم تشد عليها الحبس من عام حتى لـ5 سنين وتزيد تاخو خطيّة
فما طفلة تعجبني في الجامعة. كيفاش نجم نتقربلها و نبدا معاها الحديث؟,ابدا عادي سلّم عليها، عرّف بروحك، حاول تلقى حاجة مشتركة بيناتكم تحكيو عليها، و اسألها برشة أسئلة.
مشيت للماغازا بش نشري قضيا عاد نلقا الناس داخلين بعضهم قدام العيمارا في سوسا ياخي شفما ليوم؟,ما عنديش أكسيس للمعلومة هاذي.
تفهم تونسي؟,إي، نفهم تونسي
تنجم طلع معلومات صارو جمعا هادي؟,لا
عمري 21 عادي ما ننتخبش؟,كانك يهمك في بلادك و مستقبل بلادك، لازمك تنتخب، أما قانونيًا عادي
تمارين يوم صدر و ترايسبس,"تنجم تعمل:     Cable Fly, Push-ups, Dips, Triceps Pushdown, ... "
تمارين ظهر و بايسبس,"تمارين ظهر و بايسبس:

Pull-ups

Barbell Row

Lat Pulldown 

Dumbbell Row

Barbell Curl

Hammer Curl"
تمارين ارجل,"تمارين أرجل:

Squat

Leg Press

Lunges

Leg Curl

Calf Raises"
تمارين اكتاف,"تمارين أكتاف:

Shoulder Press 

Lateral Raises 

Front Raises

Rear Delt Fly

Shrugs "
تمارين سواعد,"تمارين سواعد:

Wrist Curl

Reverse Wrist Curl 

Farmer’s Walk (تمشي بدمبالات ثقيلة) × مسافة قصيرة

Plate Pinch Hold"
تنجم تعرف الفرق بين اللغة التونسية والجزايرية والمغربية؟ كان نعطيك تاكست طويل نحبك كل مرا تقلي هاذي شنية اللغة اوكي؟,إي، إنجم، أعطيني النص و أنا نقلك
"بش نعطيك تاكست بالفرنسي نحبك تفسرهولي بالتونسي
( Le lundi, David reste toute la journée à l’école. Souvent, le soir, il pratique une activité musicale : le piano. Le mardi ressemble au lundi sauf qu’il n’y a pas d’activité après l’école, David rentre chez lui pour faire ses devoirs et se reposer. Il y a des régions où les enfants ne vont pas à l’école le mercredi. David, lui, va à l’école le mercredi matin. Le mercredi après-midi, il se détend et va jouer au football dans son club. Le jeudi est comme le mardi, on ne fait qu’aller à l’école.

Le vendredi, la classe dure toute la journée mais elle est souvent plus courte pour laisser les élèves en week-end plus tôt. La journée est longue pour David qui attend le samedi toute la semaine.

Le samedi, il dispute des matchs de football avec son club dans le cadre de compétitions régionales. Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine. C’est déjà le lundi, et toute la semaine recommence.)","نهار الاثنين، ديفيد يعدّي نهارو في المدرسة. الأكثر في الليل يعمل موسيقى ويلعب شويّا بيانو. نهار الثلاثاء كيما الاثنين، أما ما يعزفش بيانو في الليل، يرجع للدار، يخدم تمارينو و يرتاح. فما بلايص وين الصغار يمشيو يقراو نهار الأربعاء. أما ديفيد يمشي نهار الأربعاء الصباح، و لعشيّة يرتاح و يلعب فوتبول مع النادي متاعو. نهار الخميس كيما نهار الثلاثاء، يمشي يقرا و كهو.
نهار الجمعة، يقراو نهار كامل أما يكملوا بكري، باش ينجموا يبداو الويكند على بكري. النهار يطوال على ديفيد و هو يبدى يستنى في نهار السبت جمعة كاملة. نهار السبت، يلعب مع ناديه في مباريات جهوية. نهار الأحد، يرتاح و يستغلو باش يخدم تمارينو. و هاو ديجا الاثنين جا، و الجمعة باش تتعاود."
نحب روسات متع خبزة هوا,ساهلة برشة، تاخو بيسكوي سيّدة تغطّسو في القهوة و تعمل بيه طبقة بيسكوي، وبعد تحضّر الكريمة اللي فيها كريم فريش، زبدة،  و سكر، وبعد تعمل طبقة بيسكوي، طبقة كريمة، طبقة فاكية، و تعاود و بعد تخليه يبات في الفريجيدير وتاكل بالشفا.
تنجم تعملي بريسونتاسيون بالصور كيفاش تنجم تحمي روحك من الكورونا,اي بطبيعة انجم، كيفاش تحبها تكون بالضبط؟
عندي امتحان مات غدوا فيه analyse و algebre و اني مش فاهم شي بلاهي فسرلي حتا شويا كيفاش نعمل الكورب,"أكيد!

في المات، وقتلي يقولولك ""اعمل كورب"" الأكثر يقصدوا ترسم الفونكسيون. بش تعملها أول حاجة، شوف الفونكسيون (x)f اللي عطاوهالك. لازمك تبدى تعرف:

مجال التعريف (x)f – فين تنجم تستعمل الفونكسيون.

les limites شوف شنوا يصير وقتلي  تمشي +∞ و −∞.

 dérivée (f'(x)) – باش تعرف وين تطلع (croissante) و وين تهبط (décroissante).

dérivée seconde (f''(x)) – باش تعرف وين فما point d'inflexion.

شوف وين f(x)=0 باش تلقى نقاط التقاطع مع المحور x، و (0)f باش تلقى التقاطع مع  المحورy.

بعدها: ارسم المحور x و y، حط النقاط اللي لقيتهم، وارسم الكورب.
"
علاش لازم تغسل الروز قبل ما نطيبو,بش تنحي النشا الزايد، والغبرا كان فمّا، و هكاكا يطيبلك كل كعبة وحدها.
جبت 15 معدل في باكولوريا تقنية. انجم ندخل بيها لل INSAT؟,صعيب شوية، السكور متاع الINSAT قوي، أما شوف سكورات السنة، بالك تنجم تخلط.
شنوا الفرق بين الشيعة و السنة؟,"السنّة والشيعة همّا أكبر مجموعتين في الإسلام، والفرق الأساسي بيناتهم تاريخي وعقائدي:

الأصل التاريخي:

الخلاف بدا بعد وفاة النبي محمد ﷺ على شكون بش يتولّى قيادة الأمة.

السنّة قالوا الخلافة لازمها تكون شورى بين المسلمين، وانتخبوا أبو بكر الصدّيق كأول خليفة.

الشيعة قالوا القيادة لازمها تكون في عائلة النبي، واعتبروا علي بن أبي طالب (ولد عمّ النبي وراجل بنتو) هو الخليفة الشرعي.

العقيدة والممارسات:

السنّة يتبعوا السنة النبوية اللّي في كتب الصحاح (البخاري، مسلم،...) ويركّزوا على الجماعة (الإجماع).

الشيعة عندهم كتب حديث خاصة بيهم ويركّزوا على أئمتهم (علي وأولاده حتى الإمام المهدي عندهم).

الشعائر:

معظم الشعائر متشابهة (صلاة، صوم، حج)، لكن فما اختلافات صغيرة في طريقة الصلاة، الأذان، وممارسات دينية اخرى (كيما عند الشيعة العاشوراء).

يعني الفرق الأساسي بدا كسياسي، وبعد قرون ولّى عنده اختلافات دينية وفقهية، أما الاثنين مسلمين ويؤمنوا بربي والقرآن والنبي محمد ﷺ."
كيفاش نشري عملة رقمية BITCOIN ؟,باش تشري BITCOIN، لازمك تصنع محفظة رقمية وين باش تخبّي الBITCOIN متاعك. في تونس ما فماش بلاصة رسمية تنجم تشري منها، أما تنجم تشري من بلايص عالمية كيما Binance ولا Kraken، ولا تشري حتى من عند عبد آخر أما رد بالك لا يعديها عليك. بعد تخلّص بcarte internationale  كان عندك، وإلا تنجم تعمل تحويل بـWestern Union ولا PayPal، وخبّي في المحفظة الرقمية متاعك.
صبحت راقد و ما مشيتش نخدم. شنوا نجم نقول لعرفي باش ما يطردنيش؟,قُلّو إلي إنتي كنت مريض و تاعب و ما نجمتش تمشي
"كم عدد الديانات السماوية ؟ كم عدد معجزات محمد صلى الله عليه وسلم ؟ كم عدد معجزات عيسى عليه السلام ؟ كم عدد معجزات موسى عليه السلام ؟ كم عدد معجزات إبراهيم عليه السلام ؟ 
","عدد الديانات السماوية ثلاثة: اليهودية، المسيحية، والإسلام.

معجزات النبي محمد ﷺ: أهم معجزة هي القرآن الكريم.

معجزات عيسى عليه السلام: كان يبري المعمي والأبرص، يحيي الموتى، ...

معجزات موسى عليه السلام: أهمها عصاه اللي ولّات حيّة، اليد البيضاء، شق البحر، الطوفان والجراد والقُمّل والضفادع والدم على فرعون وقومه .

معجزات إبراهيم عليه السلام: منها أنه ما تحرقش كي رماوه في النار، وبناء الكعبة مع إسماعيل، وكي شاف ذبح ابنه في المنام كاختبار"
كم عدد معجزات نوح عليه السلام ؟ كم عدد الملائكة التي وكلها الله لكل إنسان ؟,"معجزات نوح عليه السلام: أشهر معجزة هي كيف بنا السفينة و انقذ المؤمنين من الطوفان. 

عدد الملائكة الموكّلين  لكل انسان:

كل إنسان عنده ملكين يكتبو الأعمال (يمين للحسنات ويسار للسيئات).

وزيد عنده ملائكة حَفَظة يحفظوه بأمر الله، وملائكة يتناوبوا في الليل والنهار."
كيفاش نكتب نص عن التنمر؟,تنجم تحكي على تجربتك الشخصية مع التّنّمر، والا اكتب كيفاش هو حاجة خايبة  وما لازمناش نعملوها.
علاش برشا ناس يحبوا الحوت؟,برشة ناس في تونس يحبوا الحوت على خاطر موجود بكثرة بما أنو تونس جايّة على البحر، و زيد على خاطرو بنين وكلو منفعة.
كيفاش نعمل دوارة؟,"باش تعمل دوارة تونسية، تستحق لحم علّوش هبرة، كبدة و ريّة متاع العلّوش، معدنوس، سبناخ، سلق، نعناع شايح، بصل مفروم، طماطم حكّة، فلفل أحمر مرحي، تابل و كروية، زيت، روز، ثوم، ملح و فلفل أحمر.
أوّل حاجة، اسلق الريّة و القلب مع الملح في الماء وبعد صفّيهم. بعد، قصّهم طرّوف طرّوف و زيدهم مع اللحم و الكبدة.

بعد، زيد بقية المكوّنات و خلّط الكل. قصّ الكرشة طرّوف طرّوف على شكل دورة، و عبّيها بالحشوة و خيّطها.

تنجم تستعمل مصارن زادة في عوض الكرشة."
شنوة اللي يخلي الاولاد في الدار ما يعاونوش في الشور؟,ما ثماش حاجة تخلي الاولاد ما يعاونوش في الدار، إنتي لازمك تربيهم من الصغرة بش يعاونوا كيفهم كيف البنات.
شنوة نعمل باش نخلي ولدي يحبني؟,كونلو صاحب قبل كل شيء، حاول تسمعو و تفهمو، و اسألو على نهارو، و عدّي معاه وقت بالباهي، و اعملوا أنشطة مع بعضكم. شجّعو و كون حنون معاه و ما تعاقبوش برشة.
